YEAR_BUILT_027,LOWEST_RATING,struc_eval,channel_cond,culvert_cond
1910,5,5,6,0
1910,5,5,6,0
1993,7,7,6,1
1993,7,7,6,1
1918,4,4,5,0
1918,6,6,6,1
1918,5,5,5,0
1993,7,7,7,1
1924,5,5,5,0
1924,6,3,6,1
1924,7,7,7,1
1924,6,6,6,1
1900,6,6,6,1
1925,6,6,7,1
1925,6,6,5,1
1925,7,7,6,1
1925,6,6,6,1
1925,6,5,5,1
1992,7,7,7,1
1925,5,5,6,0
1925,6,6,6,1
1925,7,7,6,1
1925,5,5,5,0
1925,6,6,7,1
1925,6,6,7,1
1925,5,5,6,0
1925,5,5,6,0
1925,6,6,7,1
1926,6,6,5,1
1926,6,6,5,1
1926,6,6,5,1
1926,5,5,6,0
1926,6,6,5,1
1926,6,6,5,1
1926,6,6,5,1
1926,6,6,5,1
1926,6,6,5,1
1927,6,6,6,1
1927,6,6,6,1
1927,5,5,5,0
1927,5,5,5,0
1927,6,6,6,1
1927,6,6,5,1
1927,5,5,6,0
1927,6,6,6,1
1928,6,6,6,1
1928,6,6,5,1
1928,5,5,5,0
1928,6,6,6,1
1928,6,6,6,1
1928,6,6,7,1
1928,6,6,6,1
1928,6,6,8,1
1928,6,6,6,1
1928,5,5,6,0
1928,6,6,6,1
1928,6,6,7,1
1928,7,7,6,1
1928,6,6,7,1
1929,6,6,5,1
1929,6,6,7,1
1929,7,7,7,1
1929,7,7,6,1
1929,6,6,6,1
1929,7,7,6,1
1929,6,6,7,1
1991,7,7,6,1
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,5,1
1929,5,5,5,0
1929,6,6,6,1
1929,7,7,6,1
1929,5,5,6,0
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,6,1
1929,7,7,6,1
1929,6,6,5,1
1929,6,6,7,1
1929,5,5,6,0
1929,5,5,5,0
1938,6,6,5,1
1929,6,6,6,1
1929,6,6,6,1
1929,6,6,7,1
1929,5,5,5,0
1929,6,6,6,1
1929,6,6,7,1
1929,6,6,7,1
1929,7,7,6,1
1929,5,5,6,0
1930,7,6,7,1
1930,6,6,6,1
1930,5,5,5,0
1930,6,6,8,1
1930,5,2,6,0
1930,6,6,6,1
1930,6,6,6,1
1930,6,6,6,1
1930,6,4,6,1
1989,6,6,6,1
1930,7,7,7,1
1931,6,6,6,1
1931,6,6,7,1
1931,6,6,7,1
1931,6,6,6,1
1931,7,7,7,1
1931,7,7,5,1
1931,6,4,7,1
1931,7,7,6,1
1931,6,6,5,1
1932,7,7,7,1
1932,5,5,6,0
1932,6,6,7,1
1932,6,6,6,1
1932,6,6,6,1
1932,6,6,6,1
1932,5,5,4,0
1933,6,6,6,1
1934,6,6,6,1
1934,6,6,5,1
1934,6,6,6,1
1935,6,6,6,1
1935,6,6,7,1
1935,6,6,6,1
1935,6,6,7,1
1935,6,5,5,1
1935,7,7,6,1
1993,6,6,6,1
1935,7,7,6,1
1935,6,6,7,1
1935,5,5,7,0
1935,6,6,6,1
1935,7,7,6,1
1935,7,7,6,1
1935,6,6,6,1
1935,6,6,6,1
1936,6,6,6,1
1936,6,6,5,1
1936,6,6,6,1
1936,4,4,6,0
1936,5,5,5,0
1937,5,5,5,0
1937,7,7,6,1
1937,6,6,6,1
1926,6,6,6,1
1926,6,6,6,1
1926,6,6,6,1
1926,6,6,6,1
1926,5,5,6,0
1938,6,6,6,1
1938,6,6,6,1
1938,6,6,6,1
1938,7,7,7,1
1938,5,5,5,0
1938,6,6,6,1
1938,6,6,6,1
1938,7,7,6,1
1938,6,6,7,1
1938,6,6,6,1
1938,6,6,7,1
1938,6,6,5,1
1939,6,6,6,1
1939,7,7,7,1
1939,6,6,6,1
1939,6,6,6,1
1939,7,7,6,1
1939,6,6,6,1
1939,6,6,7,1
1939,6,6,6,1
1939,6,6,6,1
1939,7,7,7,1
1939,7,7,7,1
1939,6,6,6,1
1939,6,6,6,1
1939,6,6,6,1
1939,6,6,6,1
1939,6,6,6,1
1939,5,5,6,0
1939,6,6,7,1
1939,6,6,6,1
1926,6,6,5,1
1927,7,7,7,1
1928,7,7,7,1
1940,5,5,6,0
1940,5,5,5,0
1940,6,6,7,1
1940,6,6,6,1
1940,6,6,6,1
1940,6,6,7,1
1940,5,5,6,0
1940,7,7,6,1
1940,6,6,5,1
1940,5,5,6,0
1940,7,7,6,1
1940,6,6,5,1
1940,7,7,6,1
1940,5,5,6,0
1940,6,6,6,1
1940,6,4,6,1
1940,6,6,6,1
1940,5,5,5,0
1940,6,6,6,1
1940,7,7,5,1
1940,6,6,6,1
1940,7,7,7,1
1940,7,7,7,1
1940,7,7,7,1
1940,7,7,7,1
1940,7,7,7,1
1940,6,6,6,1
1940,6,6,7,1
1991,7,7,6,1
1940,7,5,7,1
1940,7,7,6,1
1940,6,6,5,1
1940,7,7,6,1
1940,6,6,5,1
1940,7,7,7,1
1940,7,7,6,1
1940,6,6,5,1
1920,6,6,6,1
1929,5,5,6,0
1929,7,7,6,1
1929,7,7,6,1
1929,6,6,7,1
1941,7,7,5,1
1941,6,5,7,1
1941,6,6,6,1
1941,6,6,6,1
1925,6,6,6,1
1926,7,6,6,1
1942,6,6,6,1
1942,6,6,6,1
1942,6,6,6,1
1942,6,6,6,1
1942,6,6,6,1
1942,6,6,6,1
1942,6,6,6,1
1942,7,7,6,1
1942,7,7,6,1
1942,5,5,6,0
1942,6,6,6,1
1942,5,5,5,0
1942,6,6,6,1
1942,6,6,5,1
1942,5,5,5,0
1942,6,6,7,1
1945,5,5,7,0
1945,7,7,6,1
1945,6,6,6,1
1945,6,6,7,1
1945,7,7,6,1
1945,7,7,7,1
1945,6,6,6,1
1945,7,7,6,1
1945,5,5,7,0
1946,6,6,6,1
1946,6,6,6,1
1946,6,6,6,1
1946,6,6,6,1
1946,7,7,8,1
1926,6,6,6,1
1929,6,6,6,1
1947,6,6,6,1
1947,6,6,6,1
1947,6,6,5,1
1947,6,6,5,1
1947,6,6,5,1
1947,6,6,5,1
1947,6,6,8,1
1947,6,6,7,1
1947,6,6,6,1
1947,4,4,3,0
1947,6,6,6,1
1947,7,7,7,1
1947,7,7,7,1
1931,6,6,6,1
1931,6,6,6,1
1931,6,6,7,1
1931,6,6,7,1
1931,7,7,7,1
1931,6,6,5,1
1948,6,6,6,1
1948,7,7,7,1
1948,6,6,5,1
1948,6,6,6,1
1948,6,6,6,1
1948,7,7,6,1
1948,7,7,7,1
1948,6,6,7,1
1948,5,5,6,0
1948,5,5,5,0
1991,6,6,5,1
1948,6,6,6,1
1948,6,6,6,1
1948,7,7,6,1
1948,6,6,7,1
1949,6,6,6,1
1995,8,7,7,1
1949,5,5,8,0
1949,6,6,6,1
1950,7,5,6,1
1950,6,6,7,1
1950,6,6,6,1
1950,6,6,6,1
1950,6,6,6,1
1950,5,5,6,0
1950,6,6,6,1
1950,5,5,5,0
1950,7,7,7,1
1950,6,6,5,1
1950,6,6,7,1
1950,6,6,5,1
1950,6,5,6,1
1950,7,7,6,1
1950,6,5,5,1
1950,6,6,6,1
1950,6,5,8,1
1950,7,7,7,1
1950,6,6,5,1
1992,7,7,5,1
1950,6,6,5,1
1950,6,6,6,1
1950,6,6,7,1
1950,6,5,6,1
1950,6,6,6,1
1950,6,6,7,1
1950,6,6,6,1
1950,4,4,6,0
1950,6,6,7,1
1950,6,6,6,1
1950,7,7,6,1
1950,7,7,6,1
1950,4,4,5,0
1950,7,7,7,1
1950,5,5,6,0
1950,5,5,5,0
1950,5,5,6,0
1951,6,6,6,1
1951,6,5,7,1
1951,6,6,7,1
1951,7,6,7,1
1951,7,6,7,1
1951,6,6,7,1
1951,7,6,7,1
1951,6,6,6,1
1951,7,7,7,1
1951,5,5,4,0
1951,6,6,6,1
1951,7,7,8,1
1951,6,6,7,1
1951,4,4,6,0
1951,5,2,6,0
1951,7,6,6,1
1951,6,6,6,1
1951,7,6,7,1
1951,8,7,7,1
1951,8,6,7,1
1951,7,6,7,1
1951,6,6,6,1
1951,7,7,7,1
1951,7,7,7,1
1951,7,7,7,1
1951,7,6,7,1
1951,6,6,6,1
1925,6,6,5,1
1952,5,5,7,0
1952,6,6,6,1
1952,6,5,7,1
1952,6,5,6,1
1952,6,6,7,1
1952,6,6,5,1
1952,6,6,6,1
1952,6,6,6,1
1952,6,6,6,1
1993,9,9,8,1
1952,6,5,7,1
1952,7,5,6,1
1952,7,6,5,1
1952,7,6,6,1
1952,7,7,6,1
1952,6,6,7,1
1952,5,5,6,0
1952,6,6,6,1
1952,6,6,6,1
1952,7,7,6,1
1952,6,6,7,1
1952,6,6,6,1
1952,7,7,6,1
1952,7,6,6,1
1952,6,6,6,1
1952,7,7,7,1
1952,7,7,7,1
1952,6,6,6,1
1952,7,7,6,1
1952,5,5,6,0
1952,7,7,7,1
1953,6,6,4,1
1953,6,6,6,1
1953,6,6,6,1
1953,7,5,6,1
1953,6,6,7,1
1953,6,6,6,1
1953,6,6,7,1
1953,6,6,7,1
1953,4,4,5,0
1953,6,6,7,1
1953,6,5,6,1
1953,7,7,6,1
1953,6,6,6,1
1953,6,6,8,1
1953,6,6,8,1
1953,7,6,5,1
1953,6,6,6,1
1953,6,6,6,1
1953,7,7,6,1
1953,7,7,6,1
1962,6,6,6,1
1953,7,6,7,1
1953,7,7,7,1
1953,6,6,6,1
1953,6,6,6,1
1953,6,6,5,1
1953,6,5,6,1
1953,6,6,7,1
1953,7,7,7,1
1926,6,6,6,1
1927,6,6,5,1
1927,7,7,5,1
1942,6,6,6,1
1954,6,6,6,1
1954,5,5,4,0
1954,5,5,6,0
1954,6,6,7,1
1954,6,6,6,1
1954,6,6,6,1
1954,7,7,7,1
1954,7,7,7,1
1954,7,7,8,1
1954,6,6,7,1
1954,7,7,7,1
1954,7,6,6,1
1954,6,6,6,1
1954,5,5,5,0
1954,6,6,7,1
1954,7,7,7,1
1954,6,6,6,1
1954,7,7,6,1
1954,7,7,6,1
1954,5,5,6,0
1962,5,5,6,0
1954,7,7,7,1
1954,7,6,6,1
1954,7,7,7,1
1954,7,7,6,1
1954,7,6,7,1
1954,6,6,5,1
1954,6,6,6,1
1954,6,6,6,1
1954,6,6,8,1
1954,5,5,5,0
1954,7,7,6,1
1954,6,6,6,1
1954,6,6,6,1
1954,6,6,8,1
1954,7,7,6,1
1954,6,6,6,1
1954,7,7,6,1
1954,7,6,7,1
1955,7,7,7,1
1955,6,6,6,1
1955,6,6,6,1
1955,5,5,7,0
1955,7,6,9,1
1955,7,7,6,1
1955,6,6,6,1
1955,7,7,7,1
1955,5,5,6,0
1955,6,6,6,1
1955,6,6,7,1
1993,9,9,8,1
1955,5,5,5,0
1955,6,6,7,1
1955,5,5,6,0
1955,5,5,6,0
1955,6,6,6,1
1955,6,6,6,1
1955,7,7,7,1
1955,7,7,6,1
1955,6,6,6,1
1955,6,5,7,1
1955,7,6,7,1
1955,7,7,7,1
1955,7,7,8,1
1955,8,7,8,1
1955,8,8,8,1
1955,8,8,8,1
1955,8,8,7,1
1955,6,6,6,1
1955,7,6,6,1
1955,6,6,5,1
1955,6,6,6,1
1955,7,6,7,1
1955,6,6,6,1
1955,6,6,6,1
1955,7,7,7,1
1955,7,7,6,1
1955,6,6,6,1
1955,6,6,6,1
1955,6,6,6,1
1955,6,6,7,1
1924,7,6,6,1
1956,6,6,6,1
1956,6,6,6,1
1956,6,6,6,1
1993,8,8,7,1
1956,7,7,7,1
1956,7,6,7,1
1956,6,6,7,1
1956,6,6,6,1
1956,6,6,7,1
1992,7,7,7,1
1956,4,4,5,0
1956,7,7,7,1
1956,7,7,7,1
1956,7,7,6,1
1956,7,7,6,1
1956,7,7,7,1
1956,7,6,7,1
1956,6,6,6,1
1956,7,6,7,1
1956,7,7,7,1
1956,7,7,7,1
1956,7,7,7,1
1956,7,7,7,1
1956,5,5,6,0
1956,6,6,6,1
1956,6,6,8,1
1956,7,5,7,1
1956,5,5,6,0
1956,6,6,6,1
1956,5,0,5,0
1956,7,6,7,1
1956,6,6,7,1
1992,6,6,4,1
1956,5,5,6,0
1956,6,5,6,1
