FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
6,0,1975,4,4890,2016,15.8,4,17.4,0,0,61.1,36.7,7,2,0,18,0,5931,2038,7,274.92,32.47105,-86.522136,124.3190002,24.2327003,12.0136995,0.0949544,8,6,7,6,1
6,0,1984,2,2310,2013,12.8,4,17.7,0,0,53.8,32.3,6,2,0,14,0,3111,2033,7,226.56,32.522856,-87.554368,130.3450012,24.2383995,11.4083004,0.139656,8,5,7,5,1
9,0,1967,2,200,2001,8.5,4,13.4,0,0,54,32.4,8,2,0,20,0,392,2035,6,113.9,33.57441,-87.5513,134.3410034,23.2304001,9.8614798,0.183766,8,7,6,6,1
6,0,1929,2,1870,2013,10.4,4,9.1,0,0,49.1,29.5,8,2,1978,24,0,2421,2033,7,94.64,31.573811,-85.122899,124.237999,24.8847008,12.3982,0.0548706,8,8,7,6,1
9,0,1984,2,122,1996,6.1,3,11.4,0,0,70.8,41.7,5,2,0,11,0,140,2030,7,69.54,33.530122,-87.495746,138.3600006,23.2539997,10.0396004,0.184091,8,7,7,7,1
6,0,2000,2,1880,2013,12,5,19.7,0,0,85.4,51.2,8,2,0,17,0,2425,2033,7,236.4,31.270984,-88.153834,149.4089966,25.4123001,11.6852999,0.0709307,8,8,7,7,1
16,1,1965,5,12000,2016,15.8,4,15.2,15.8,20,57.2,34.3,7,2,0,2,0,16800,2036,6,300.96,34.460029,-86.380064,123.9140015,21.6704006,9.6552401,0.175278,8,7,6,6,1
8,0,1959,2,563,2016,8.5,3,6.7,0,0,88.9,76.6,8,2,0,3,0,837,2036,6,56.95,33.572356,-86.323578,128.6430054,22.9909992,9.4906101,0.158057,8,8,6,5,1
11,1,1949,8,21000,2017,12.8,8,7.9,0,0,99.9,81.9,8,2,0,33,1,28500,2037,8,101.12,32.215172,-88.403142,122.1439972,24.3108997,11.0719004,0.111334,8,6,8,6,1
9,0,1984,2,350,1985,8.5,3,13.1,0,0,88.9,88.9,6,2,0,1,0,400,2029,7,111.35,32.5708,-86.49125,125.3000031,24.0550995,11.5790997,0.100292,8,7,7,7,1
